B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,14
-200,-200,-200,-200,-74,-200,-200,-72,-83,-200,-200,-200,-74,-200,-200,8
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-85,-200,-200,-200,-200,-92,-80,-98,-78,-93,-200,-200,-91,-200,-92,16
-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,4
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-91,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,6
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-92,-88,-200,18
-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-92,-88,-200,18
-75,-200,-200,-200,-93,-89,-85,-91,-82,-87,-200,-200,-79,-200,-200,10
-88,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,21
-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-93,19
-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-81,-89,-200,-200,-200,15
-80,-200,-200,-200,-85,-200,-89,-200,-73,-81,-200,-200,-70,-200,-200,23
-200,-200,-200,-200,-84,-200,-200,-200,-62,-83,-200,-200,-96,-200,-200,9
-92,-200,-200,-200,-200,-200,-90,-82,-90,-90,-200,-200,-87,-200,-200,11
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-83,-200,-200,-200,-200,-90,-73,-98,-92,-87,-200,-200,-91,-200,-92,16
-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-62,-200,-97,-200,-200,-200,-200,-200,-80,6
-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-90,-86,-200,-200,-200,4
-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-70,-87,-200,-200,-200,1
-89,-200,-200,-75,-200,-200,-200,-200,-200,-200,-77,-77,-200,-200,-200,13
