Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
7,-78,,,,,,,,,,,,,,
14,,,,,,,-79,,,,,,,,
4,,,,-93,,,,,,,-89,-87,,,
21,,,,,,,-73,,,,,,,,
20,,,-80,,,,,,,,,,,,
13,-86,,,-81,,,,,,,-72,-88,,,
10,-72,,,,,-91,-75,,-80,-89,,,-86,,
16,-94,,,,,-93,-76,-93,-79,-86,,,-91,,-90
3,,,,-92,,,,,,,,,,,
5,-81,,,,,,,,-92,,,,,,
21,,,,,,,-71,,,,,,,,
23,-79,,,,-86,,-93,,-73,-84,,,-75,,
9,-82,,,,-90,,-97,-82,-56,-84,,,-92,,
2,,,,-65,,,,,,,,,,,
6,-90,,,,,,-62,,,,,,-94,,
7,-80,,,,,,,,,,,,,,
19,,,,,,,-91,,,,,,,,-85
11,,,,,,,,-83,-94,,,,-89,,
18,,,,,,,-73,,,,,,,-79,
4,-92,,,-91,,,,,,,-94,,,,
1,,,,-86,,,,,,,-77,-90,,,
18,,,,,,,-73,,,,,,,-79,
3,,,,-87,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,-70,,,,,,,,
16,-94,,,,,-93,-71,-93,-88,-99,,,-91,,-90
14,,,,,,,-84,,,,,,,,
23,-82,,,,-86,,-90,-92,-73,-84,,,-72,,
9,-82,,,,-82,,-95,-87,-62,-84,,,-81,,
13,-80,-97,,-80,,,,,-92,,-77,-85,,,
20,,,,,,,,,,,,,,,
6,-89,,,,,,-62,,,,,,,,
2,,,,-60,,,,,,,,,,,
7,-86,,,,,,,,,,,,,,
8,,,,,-76,,,-67,-81,,,,-75,,
19,-92,,,,,,-88,,,,,,,,-84
4,,,,-90,,,,,,,-91,-87,,,
10,-76,,,,,-83,-85,,-79,,,,-91,,
15,-90,,,-81,,,,,,,-83,-91,,,
5,-78,,,,,,,,,,,,,,
3,,,,-69,,,,,,,,,,,
11,,,,,-92,,,-85,,,,,-73,,
6,-95,,,,,,-54,,,,,,,,-85
1,-84,,,-89,,,,,,,-69,-92,,,
18,,,,,,,-81,,,,,,-82,-80,
23,-78,,,,-87,,-92,-92,-82,-81,,,-71,,
9,-85,,,,-94,,,-90,-62,-80,,,-86,,
2,,,,-49,,,,,,,,,,,
18,,,,,,,-81,,,,,,-82,-80,
7,-85,,,,,,,,,,,,,,
16,-80,,,,,-93,-74,-93,-91,-99,,,-91,,-90
21,,,,,,,-70,,,,,,,,
4,,,,-82,,,,,,,-91,-86,,,
19,,,,,,,-92,,,,,,,,-80
20,-86,,-84,,,,,,,,,,,,
3,-91,,,-49,,,,,,,,-97,,,
14,,,,,,,-75,,,,,,,-93,
20,-86,,-84,,,,,,,,,,,,
13,-85,,,-76,,,,,-96,,-72,-88,,,
16,-79,,,,,-93,-82,-93,-79,-91,,,-91,,-90
6,,,,,,,-58,,,,,,,,
10,-79,,,,,-92,-76,,-78,,,,-86,,
23,-84,,,,-87,,-91,-92,-74,-77,,,-68,,
9,-83,,,,-84,,,-87,-62,-79,,,-89,,
5,-73,,,,,,,,,,,,,,
2,,,,-50,,,,,,,,,,,
7,-89,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-92,-88,,,
8,,,,,-74,,,-88,-82,,,,-69,,
3,,,,-53,,,,,,,,-86,,,
19,,,,,,,-87,,,,,,,,-80
1,-86,,,-84,,,,,,,-67,-89,,,
18,,,,,,,-87,,,,,,,,
11,,,,,,,-89,-84,-90,-96,,,-78,,
15,-83,,,-85,,,,,,,-85,-85,,,
6,,,,,,,,,,,,,-94,,-76
16,-77,,,,,-93,-73,-93,-85,-84,,,-91,,-90
18,,,,,,,-87,,,,,,,,
23,-92,,,,-87,,-93,,-81,-79,,,-72,,
9,-85,,,,-85,,,,-62,-91,,,-92,,
20,,,-85,,,,,,,,,,,,
2,,,,-60,,,,,,,,,,,
20,,,-85,,,,,,,,,,,,
21,,,,,,,-71,,,,,,,,
14,,,,,,,-79,,,,,,,-93,
7,-77,,,,,,,,,,,,,,
3,,,,-71,,,,,,,,-93,,,
4,,,,-88,,,,,,,-86,-88,,,
13,-85,-93,,-78,,,,,,,-72,-82,,,
19,,,,,,,-89,,,,,,,,
10,-81,,,,,-90,-77,,-78,,,,-89,,
6,-85,,,,,,-57,,,,,,-92,,
5,-75,,,,,,,,,,,,,,
16,-77,,,,-93,-89,-78,-93,-85,-84,,,-91,,-90
23,-85,,,,-84,,-87,-90,-72,-82,,,-67,,
9,-83,,,,-90,,,-87,-62,-80,,,-86,,
2,,,,-60,,,,,,,,,,,
21,,,,,,,-75,,,,,,,,
1,-86,,,-84,,,,,,,-77,,,,
11,,,,,,,-93,-84,-86,-87,,,-85,,
3,,,,-67,,,,,,,,,,,
7,-83,,,,,,,,,,,,,,
18,-87,,,,,,-80,,-92,,,,-81,,-87
4,,,,-88,,,,,,,-95,-88,,,
18,-87,,,,,,-80,,-92,,,,-81,,-87
8,,,,,-70,,,-86,-72,,,,-76,,
19,,,,,,,-85,,,,,,,,-75
6,,,,,,,-63,,,,,,,,
16,-84,,,,-93,-89,-79,-93,-83,-89,,,-84,,-90
20,-84,,-81,,,,,,,,,,,,
20,-84,,-81,,,,,,,,,,,,
15,-83,,,-83,,,,,,,-85,-83,,,
14,,,,,,,-77,,,,,,,,
13,-86,-93,,-88,,,,,,,-72,-75,,,
23,-81,,,,-88,,,-95,-70,-81,,,-67,,
9,-81,,,,-89,,-96,-90,-56,-80,,,,,
21,,,,,,,-70,,,,,,,,
3,-93,,,-77,,,,,,,,,,,
2,,,,-51,,,,,,,,,,,
10,-72,,,,-93,-87,-79,,-76,,,,-85,,
7,,,,,,,,,,,,,,,
4,,,,-88,,,,,,,-82,-90,,,
6,-87,,,,,,-59,,,,,,,,
19,,,,,,,-88,,,,,,,,
1,-86,,,-85,,,,,,,-69,-88,,,
11,,,,,,,-91,-84,-84,-91,,,-74,,
18,,,,,,,-82,,,,,,,-87,
5,-77,,,,,,,,,,,,,,
3,,,,-70,,,,,,,,,,,
23,-80,,,,-86,,,-99,-84,-80,,,-74,,
2,,,,-47,,,,,,,,,,,
18,,,,,,,-82,,,,,,,-87,
9,-83,,,,-89,,,-86,-68,-86,,,-82,,
7,-78,,,,,,,,,,,,,,
20,,,-84,,,,,,,,,,,,
4,,,,-85,,,,,,,-92,-88,,,
21,,,,,,,,,,,,,,,
6,-88,,,,,,-65,,,,,,,-84,
20,,,-84,,,,,,,,,,,,
14,,,,,,,-81,,,,,,,,
13,-83,-95,,-77,,,,,-95,,-72,-78,,,
8,,,,,-77,,,-66,-70,,,,-81,,
19,,,,,,,-88,,,,,,,,-77
10,-74,,,,,-98,-81,,-76,-93,,,-82,,
3,,,,-77,,,,,,,,,,,
5,-76,,,,,,-90,,,,,,,,
21,,,,,,,-70,,,,,,,,
23,-84,,,,-89,,-95,,-70,-80,,,-74,,
2,,,,-63,,,,,,,,-91,,,
9,-93,,,,-82,,,-90,-64,,,,-89,,
15,-89,,,-86,,,,,,,-83,-85,,,
7,-80,,,,,,,,,,,,,,
6,-91,,,,,,-64,,,,,,,-84,
4,,,,-85,,,,,,,-83,,,,
1,-86,,,-94,,,,,,,-69,-90,,,
11,-94,,,,-93,,-93,-84,-88,,,,-82,,
18,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
3,-94,,,-74,,,,,,,,-96,,,
19,,,,,,,-91,,,,,,,,-84
20,,,,,,,,,,,,,,,
21,,,,,,,-72,,,,,,,,
20,,,,,,,,,,,,,,,
9,-86,,,,-81,,,-92,-59,,,,-89,,
2,,,,-81,,,,,,,,,,,
23,,,,,-85,,-94,,-67,-88,,,-67,,
14,,,,,,,-83,,,,,,,,
6,-93,,,,,,-61,,,,,,,-85,
7,,,,,,,,,,,,,,,
